query_id,text,length_words
1253,belarus,1
8449,mesopotamia,1
15854,alpine skiing,2
7743,latin america,2
86568,austrians,1
8140,michael moorcock,2
9790,palau,1
2490,cucurbitaceae,1
30857,ernst lubitsch,2
10182,prime minister of australia,4
90955,atmosphere of earth,3
38190,washington naval treaty,3
84823,colorado river,2
12944,tennessee,1
20327,allegheny river,2
2679,chiapas,1
8946,nauru,1
29758,dog breed,2
75643,west germanic languages,3
2692,catalonia,1
77967,lesser antilles,2
8825,mormonism,1
1778,berber languages,2
3484,detroit,1
5719,hampshire,1
12547,synthetic element,2
38576,norwich,1
13553,supreme court of the united states,6
5842,horror fiction,2
9614,panama,1
10895,roman numerals,2
8886,nintendo,1
33243,chinese characters,2
9435,oklahoma,1
13711,united states army,3
6639,john wayne,2
1571,black sabbath,2
3698,ethics,1
5582,hamlet,1
81148,queen consort,2
90698,monongahela river,2
21144,new orleans,2
7859,middle ages,2
6297,international olympic committee,3
16820,grammatical number,2
73056,the vandals,2
22942,emperor of china,3
15100,dorset,1
9467,olympic games,2
1203,berlin,1
37457,royal society for the protection of birds,7
14440,x men,2
23936,leicestershire,1
34892,london borough of hounslow,4
6428,internet protocol suite,3
7934,moscow,1
6260,intel 8086,2
24628,bon jovi,2
12795,tajikistan,1
8166,myanmar,1
14078,warsaw,1
5735,honolulu,1
82551,west coast of the united states,6
6941,k,1
17346,lombardy,1
6049,intel,1
29346,developed country,2
11033,reign of terror,3
26984,united states department of commerce,5
38248,one party state,3
3231,douglas adams,2
14638,2d computer graphics,3
12919,torah,1
9248,new latin,2
7381,lesotho,1
6103,isle of man,3
255,athena,1
14052,victorian era,2
4832,fleetwood mac,2
11324,sculpture,1
8132,moon,1
9107,north carolina,2
12252,southeast asia,2
24629,veracruz,1
85162,parliamentary system,2
5554,hamburg,1
4461,west flemish,2
34111,pomeranian voivodeship,2
8462,moravia,1
86838,kenya,1
8881,nova scotia,2
273,anglicanism,1
82,albania,1
1738,bronze age,2
80983,nynorsk,1
6813,john keats,2
19576,paul newman,2
21544,geffen records,2
82870,columbia pictures,2
2326,the church of jesus christ of latter day saints,9
20053,literary criticism,2
86500,japanese people,2
8882,northwest territories,2
4680,federated states of micronesia,4
23733,national collegiate athletic association,4
1959,copenhagen,1
4944,general motors,2
14186,weezer,1
13557,unicode,1
13962,venice,1
11356,satire,1
4085,eric clapton,2
8365,maine,1
12041,shinto,1
6294,international electrotechnical commission,3
9365,oslo,1
7968,macau,1
2469,cairo,1
31448,ozzy osbourne,2
2791,chemical formula,2
96767,pennines,1
13471,tyrrhenian sea,2
11448,scotland,1
15050,trondheim,1
6033,indonesia,1
2055,colorado,1
2820,commonwealth of england,3
15768,caucasus,1
94994,states of germany,3
35548,london borough of merton,4
24267,south island,2
32612,the broads,2
3243,d,1
17713,east slavs,2
2890,cartography,1
707,afrikaans,1
22331,overijssel,1
1025,artemis,1
1787,british empire,2
20566,gwynedd,1
7849,metallica,1
576,australian english,2
11888,sydney,1
25724,tropics,1
180,alps,1
18475,leiden,1
17933,billy wilder,2
12092,scottish gaelic,2
5151,grateful dead,2
1868,blizzard entertainment,2
7238,kosovo,1
2449,christmas,1
3919,euclidean space,2
33,alaska,1
10887,rwanda,1
11567,saint kitts and nevis,4
7947,musical film,2
94169,near east,2
75266,west flanders,2
4334,finland,1
96239,tamaulipas,1
14430,x ray,2
5895,hawaiian language,2
11414,semitic languages,2
13205,tibetan buddhism,2
27164,poetic edda,2
4859,germanic languages,2
2473,columbia university,2
80,albert einstein,2
1585,boston red sox,3
12566,sunni islam,2
3898,electronics,1
95656,counties of norway,3
2538,connecticut,1
71738,north yorkshire,2
20604,london boroughs,2
9100,northern territory,2
7030,kuomintang,1
28004,fagaceae,1
23642,archie comics,2
8610,mindanao,1
75090,czechs,1
2835,communist party of china,4
27264,derbyshire,1
3233,donald knuth,2
7254,kingdom of judah,3
10198,paul the apostle,3
6180,iso 3166,2
27089,gulf of saint lawrence,4
91,american revolutionary war,3
82069,russian far east,3
89643,turkmenistan,1
7457,led zeppelin,2
13068,the new york times,4
11919,spider man,2
22697,bering sea,2
14689,non aligned movement,3
95620,exploration,1
5460,howard hawks,2
20695,sierra entertainment,2
5499,haiti,1
3549,dundee,1
90819,vietnam,1
22931,labrador,1
13267,thuringia,1
9104,nebraska,1
10798,rhode island,2
75679,east riding of yorkshire,4
22149,bangkok,1
5028,g,1
82707,telemark,1
31972,digital research,2
15508,departments of france,3
16880,printmaking,1
2112,chad,1
17339,veneto,1
2167,christopher columbus,2
23235,serbs,1
22333,north holland,2
96733,styria,1
9364,oxford,1
28834,boy scouts of america,4
94242,eastern catholic churches,3
15647,cary grant,2
2782,confederate states of america,4
78356,muskingum river,2
88181,mystery fiction,2
96,alexander the great,3
11719,eswatini,1
3275,doctor who,2
3210,dominican republic,2
77571,arab world,2
202,austrian school,2
18526,heidelberg,1
13568,ursa major,2
25938,hasbro,1
8978,nicaragua,1
81408,buskerud,1
26157,east sussex,2
19961,holy roman emperor,3
11018,rio de janeiro,3
8899,niue,1
18254,moldavia,1
17688,british sitcom,2
2184,chemical element,2
85487,neoclassicism,1
30064,32 bit,2
5256,giacomo puccini,2
18946,bay of bengal,3
12832,tonga,1
11925,south carolina,2
10070,peterborough,1
9356,occitan language,2
90135,v engine,2
16709,greeks,1
17751,ionian sea,2
73077,middlesex,1
5979,hermes,1
14738,bristol,1
4584,french revolution,2
3725,england,1
2580,crete,1
14179,wicca,1
9146,nazi party,2
7277,luxembourg,1
21019,oxfordshire,1
14783,thrace,1
83042,shenandoah valley,2
6009,italy,1
8497,the muppets,2
6213,ivy league,2
73916,river aire,2
6633,society of jesus,3
9829,philippines,1
9865,plymouth,1
9638,puerto rico,2
16515,voivodeships of poland,3
12068,south african republic,3
99654,comedy central,2
23221,chesapeake bay,2
81414,sogn og fjordane,3
11101,romani people,2
7482,leipzig,1
6090,italian language,2
30314,parlophone,1
81418,hedmark,1
11321,science,1
5474,hawaii,1
13539,utah,1
11379,saskatchewan,1
6477,judaism,1
6321,interdisciplinarity,1
2227,cape breton island,3
10549,prime minister of japan,4
72251,marlene dietrich,2
23005,regions of france,3
9587,paramount pictures,2
11013,romantic music,2
21145,miami,1
70946,opus number,2
91946,astronomical object,2
95608,firmicutes,1
21039,procellariiformes,1
7512,loki,1
3162,democracy,1
29312,pacific northwest,2
7427,london underground,2
6473,jonathan swift,2
75338,irish republic,2
81407,akershus,1
7824,lazio,1
81416,troms,1
97650,list of municipalities of the netherlands,6
90699,lord president of the council,5
9766,pennsylvania,1
10367,privy council of the united kingdom,6
24900,scots language,2
12918,transliteration,1
26093,prunus,1
11659,slovenia,1
1349,brandenburg,1
15418,activision,1
18415,ionia,1
12052,sonic youth,2
